timestamp,order_id,type,side,price,qty
0,1,LIMIT,BUY,99.98,87
9035,2,CANCEL,,1,
12946,3,LIMIT,BUY,99.92,54
16657,4,LIMIT,SELL,100.04,90
23681,5,LIMIT,SELL,100.03,49
25365,6,LIMIT,BUY,100.04,69
27510,7,LIMIT,SELL,100.11,47
37069,8,LIMIT,SELL,100.03,30
38823,9,LIMIT,SELL,99.99,27
43297,10,LIMIT,BUY,99.92,94
47407,11,LIMIT,SELL,100.10,29
52820,12,LIMIT,BUY,100.03,52
57306,13,LIMIT,BUY,99.94,19
61745,14,LIMIT,SELL,100.09,75
68388,15,MARKET,BUY,,64
69977,16,IOC,BUY,100.07,55
79848,17,MARKET,SELL,,71
80136,18,LIMIT,SELL,100.11,15
85044,19,LIMIT,SELL,100.10,65
88071,20,LIMIT,SELL,100.14,78
91429,21,LIMIT,SELL,100.14,1
101342,22,CANCEL,,14,
106480,23,LIMIT,SELL,100.00,63
107713,24,LIMIT,BUY,99.96,22
112155,25,LIMIT,SELL,100.09,92
117362,26,LIMIT,BUY,99.97,16
121523,27,LIMIT,SELL,100.09,1
122786,28,LIMIT,BUY,100.07,10
131309,29,LIMIT,BUY,100.09,74
139153,30,LIMIT,BUY,100.10,56
145057,31,LIMIT,SELL,100.07,8
151753,32,IOC,BUY,100.09,58
154149,33,LIMIT,BUY,99.97,71
155853,34,IOC,SELL,100.01,62
159455,35,IOC,BUY,100.07,34
167009,36,LIMIT,SELL,100.12,20
170220,37,MARKET,SELL,,70
171318,38,LIMIT,SELL,100.13,21
172349,39,LIMIT,BUY,100.00,52
174413,40,LIMIT,SELL,100.04,54
184075,41,LIMIT,BUY,99.98,31
188526,42,LIMIT,BUY,100.02,2
196134,43,LIMIT,BUY,99.95,34
198404,44,IOC,SELL,100.07,57
207404,45,LIMIT,SELL,100.05,86
216590,46,LIMIT,SELL,100.04,14
225754,47,LIMIT,BUY,99.99,65
233858,48,IOC,BUY,99.99,6
234016,49,LIMIT,SELL,100.01,71
241123,50,LIMIT,SELL,100.07,70
241813,51,LIMIT,BUY,100.06,47
242566,52,LIMIT,BUY,100.08,53
245198,53,LIMIT,BUY,100.01,53
245704,54,IOC,SELL,100.08,35
248412,55,LIMIT,SELL,100.08,26
256053,56,IOC,SELL,100.08,52
261531,57,LIMIT,SELL,100.13,52
270416,58,CANCEL,,20,
273441,59,MARKET,BUY,,77
280660,60,LIMIT,BUY,100.02,50
290206,61,CANCEL,,33,
290333,62,IOC,SELL,100.08,47
297499,63,LIMIT,SELL,100.12,65
302666,64,LIMIT,SELL,100.11,54
308977,65,IOC,SELL,100.16,1
314055,66,LIMIT,SELL,100.15,57
321399,67,LIMIT,SELL,100.10,85
322888,68,LIMIT,SELL,100.06,87
328073,69,LIMIT,BUY,99.99,79
329366,70,IOC,SELL,100.14,64
336013,71,LIMIT,BUY,100.05,100
343078,72,IOC,SELL,100.16,32
345166,73,IOC,SELL,100.17,41
352517,74,LIMIT,SELL,100.16,58
355224,75,LIMIT,BUY,100.02,99
363864,76,LIMIT,BUY,100.03,35
369466,77,LIMIT,BUY,100.04,91
373071,78,LIMIT,BUY,100.02,50
382740,79,CANCEL,,55,
390654,80,LIMIT,SELL,100.18,69
399701,81,IOC,BUY,100.03,4
406172,82,LIMIT,BUY,100.14,17
415023,83,LIMIT,BUY,100.11,60
418100,84,LIMIT,BUY,100.09,36
425106,85,LIMIT,BUY,100.10,29
426330,86,LIMIT,SELL,100.20,3
428926,87,LIMIT,BUY,100.08,90
433224,88,LIMIT,SELL,100.18,100
436007,89,LIMIT,BUY,100.09,51
439356,90,LIMIT,BUY,100.13,73
440128,91,LIMIT,BUY,100.09,2
447110,92,LIMIT,SELL,100.23,91
449716,93,LIMIT,SELL,100.24,100
457737,94,IOC,SELL,100.19,12
462406,95,LIMIT,BUY,100.08,44
462976,96,LIMIT,BUY,100.10,44
467657,97,LIMIT,BUY,100.16,11
471711,98,LIMIT,SELL,100.23,58
472093,99,LIMIT,BUY,100.05,71
480891,100,MARKET,SELL,,46
488425,101,LIMIT,BUY,100.13,96
497304,102,LIMIT,BUY,100.08,93
507063,103,LIMIT,BUY,100.14,38
510890,104,LIMIT,SELL,100.13,7
520056,105,IOC,SELL,100.15,2
529561,106,LIMIT,BUY,100.08,62
531530,107,LIMIT,BUY,100.12,20
534074,108,IOC,BUY,100.04,98
540992,109,LIMIT,BUY,100.05,57
545963,110,MARKET,BUY,,80
547049,111,LIMIT,SELL,100.17,34
548479,112,LIMIT,BUY,100.16,89
558308,113,CANCEL,,43,
563040,114,LIMIT,SELL,100.23,85
566381,115,LIMIT,SELL,100.16,10
567458,116,LIMIT,SELL,100.18,57
569595,117,LIMIT,BUY,100.04,64
576867,118,LIMIT,SELL,100.10,87
586391,119,CANCEL,,109,
590906,120,LIMIT,BUY,100.03,36
593979,121,LIMIT,SELL,100.19,45
600769,122,LIMIT,SELL,100.19,37
607430,123,LIMIT,BUY,100.05,15
614152,124,IOC,BUY,100.03,53
615140,125,LIMIT,SELL,100.12,27
619615,126,IOC,BUY,100.09,4
623635,127,LIMIT,BUY,100.07,15
631295,128,LIMIT,BUY,100.06,66
635874,129,LIMIT,BUY,100.08,50
639096,130,LIMIT,SELL,100.16,99
645994,131,LIMIT,BUY,100.16,39
655710,132,LIMIT,SELL,100.19,45
661256,133,LIMIT,BUY,100.07,90
665268,134,LIMIT,SELL,100.06,61
671614,135,LIMIT,SELL,100.19,5
673782,136,LIMIT,SELL,100.19,13
682499,137,CANCEL,,24,
689316,138,MARKET,BUY,,34
694962,139,LIMIT,BUY,100.02,49
700250,140,IOC,BUY,100.01,9
704196,141,IOC,SELL,100.18,13
705942,142,LIMIT,SELL,100.11,38
711915,143,LIMIT,SELL,100.14,22
714883,144,LIMIT,BUY,100.10,60
719144,145,LIMIT,SELL,100.19,87
728199,146,LIMIT,BUY,100.07,89
732396,147,LIMIT,SELL,100.16,31
738744,148,LIMIT,SELL,100.21,36
738976,149,LIMIT,SELL,100.10,96
747214,150,IOC,SELL,100.20,29
750429,151,LIMIT,SELL,100.17,81
752120,152,LIMIT,BUY,100.04,47
754373,153,LIMIT,BUY,100.20,47
763170,154,LIMIT,BUY,100.08,38
768819,155,LIMIT,BUY,100.12,87
775430,156,IOC,BUY,100.15,34
784321,157,LIMIT,SELL,100.23,82
790507,158,LIMIT,BUY,100.07,42
794233,159,LIMIT,BUY,100.09,15
796623,160,MARKET,BUY,,31
805530,161,LIMIT,SELL,100.23,54
815252,162,LIMIT,BUY,100.17,79
822038,163,LIMIT,SELL,100.22,31
828080,164,IOC,SELL,100.15,25
830181,165,IOC,BUY,100.07,3
831109,166,LIMIT,BUY,100.15,98
840289,167,LIMIT,SELL,100.20,77
840435,168,MARKET,SELL,,70
844641,169,LIMIT,SELL,100.15,31
854388,170,LIMIT,BUY,100.08,15
855529,171,LIMIT,SELL,100.13,29
856339,172,IOC,SELL,100.18,8
864286,173,LIMIT,BUY,100.09,10
865709,174,LIMIT,BUY,100.07,71
871136,175,LIMIT,BUY,100.10,13
873110,176,LIMIT,SELL,100.21,56
880608,177,LIMIT,SELL,100.19,41
887700,178,LIMIT,SELL,100.25,9
889294,179,LIMIT,BUY,100.14,72
890376,180,LIMIT,BUY,100.19,86
897405,181,LIMIT,SELL,100.23,14
906973,182,LIMIT,BUY,100.11,72
913095,183,LIMIT,BUY,100.08,99
922316,184,LIMIT,SELL,100.24,45
922516,185,LIMIT,SELL,100.13,82
923118,186,LIMIT,BUY,100.10,100
932517,187,IOC,BUY,100.15,87
933953,188,LIMIT,BUY,100.11,28
942447,189,LIMIT,BUY,100.08,68
947600,190,LIMIT,BUY,100.16,98
951886,191,LIMIT,BUY,100.16,49
960711,192,LIMIT,SELL,100.21,51
961504,193,LIMIT,BUY,100.12,74
968230,194,LIMIT,BUY,100.21,22
975868,195,IOC,BUY,100.15,56
985616,196,LIMIT,SELL,100.23,43
988470,197,LIMIT,SELL,100.19,31
990254,198,LIMIT,SELL,100.18,23
998449,199,LIMIT,SELL,100.26,83
1003844,200,LIMIT,BUY,100.19,81
1008905,201,LIMIT,BUY,100.19,58
1009621,202,LIMIT,SELL,100.13,65
1016020,203,LIMIT,SELL,100.25,74
1019204,204,LIMIT,BUY,100.17,44
1020685,205,LIMIT,BUY,100.09,68
1029349,206,LIMIT,SELL,100.23,87
1039244,207,LIMIT,SELL,100.23,93
1049218,208,LIMIT,SELL,100.16,40
1055739,209,LIMIT,BUY,100.12,17
1064463,210,LIMIT,BUY,100.22,44
1072530,211,MARKET,BUY,,38
1074287,212,LIMIT,SELL,100.27,99
1076534,213,LIMIT,BUY,100.11,22
1083804,214,LIMIT,SELL,100.32,30
1092653,215,MARKET,SELL,,25
1098779,216,LIMIT,BUY,100.17,65
1107520,217,LIMIT,BUY,100.19,7
1115493,218,LIMIT,BUY,100.22,37
1116967,219,LIMIT,SELL,100.21,12
1120704,220,IOC,SELL,100.31,65
1126930,221,MARKET,BUY,,4
1132251,222,IOC,SELL,100.27,5
1137051,223,LIMIT,SELL,100.32,58
1137237,224,CANCEL,,67,
1139786,225,LIMIT,SELL,100.22,31
1144820,226,LIMIT,SELL,100.26,15
1153109,227,CANCEL,,149,
1162630,228,LIMIT,BUY,100.20,74
1169555,229,LIMIT,SELL,100.33,70
1177967,230,LIMIT,BUY,100.23,82
1184405,231,LIMIT,BUY,100.18,31
1186203,232,LIMIT,BUY,100.28,44
1189171,233,LIMIT,SELL,100.27,18
1190304,234,IOC,BUY,100.20,6
1195574,235,LIMIT,SELL,100.29,5
1198805,236,IOC,BUY,100.19,16
1204934,237,LIMIT,BUY,100.18,24
1213163,238,LIMIT,SELL,100.26,94
1220218,239,LIMIT,BUY,100.16,40
1227623,240,LIMIT,SELL,100.22,94
1233499,241,LIMIT,SELL,100.22,10
1240254,242,IOC,SELL,100.24,78
1247533,243,LIMIT,BUY,100.10,5
1250146,244,IOC,BUY,100.10,18
1258920,245,LIMIT,BUY,100.19,95
1262068,246,LIMIT,SELL,100.25,91
1269479,247,LIMIT,SELL,100.24,16
1271802,248,LIMIT,SELL,100.22,88
1277138,249,LIMIT,SELL,100.25,21
1280090,250,LIMIT,BUY,100.17,31
1288284,251,IOC,SELL,100.24,9
1293451,252,LIMIT,BUY,100.15,74
1294759,253,LIMIT,BUY,100.13,45
1296961,254,LIMIT,SELL,100.21,56
1305299,255,LIMIT,BUY,100.23,21
1310685,256,LIMIT,SELL,100.27,11
1314890,257,MARKET,BUY,,81
1319951,258,LIMIT,SELL,100.32,20
1322855,259,LIMIT,SELL,100.32,6
1323419,260,LIMIT,SELL,100.26,64
1332457,261,MARKET,BUY,,88
1339210,262,LIMIT,BUY,100.17,60
1342652,263,LIMIT,SELL,100.31,52
1344894,264,LIMIT,BUY,100.23,35
1352360,265,LIMIT,BUY,100.15,54
1356527,266,IOC,SELL,100.31,25
1359237,267,LIMIT,BUY,100.24,12
1365779,268,MARKET,BUY,,46
1366676,269,IOC,SELL,100.37,2
1368537,270,IOC,SELL,100.34,6
1375200,271,LIMIT,BUY,100.17,36
1377246,272,LIMIT,BUY,100.17,47
1379709,273,LIMIT,SELL,100.25,92
1385265,274,LIMIT,BUY,100.23,42
1390583,275,MARKET,SELL,,39
1400410,276,IOC,SELL,100.31,61
1400782,277,LIMIT,SELL,100.27,77
1408657,278,LIMIT,SELL,100.30,93
1409598,279,LIMIT,SELL,100.33,19
1413666,280,CANCEL,,179,
1420627,281,LIMIT,BUY,100.17,95
1421747,282,LIMIT,SELL,100.33,68
1428020,283,LIMIT,SELL,100.31,87
1432451,284,LIMIT,BUY,100.21,39
1437286,285,LIMIT,BUY,100.16,93
1441866,286,LIMIT,SELL,100.32,45
1444365,287,LIMIT,SELL,100.33,84
1448666,288,LIMIT,SELL,100.34,90
1453216,289,LIMIT,SELL,100.34,29
1457130,290,LIMIT,BUY,100.26,71
1459817,291,IOC,SELL,100.31,97
1464623,292,LIMIT,SELL,100.23,30
1473490,293,IOC,BUY,100.20,23
1474185,294,LIMIT,BUY,100.22,5
1474436,295,LIMIT,SELL,100.35,83
1483437,296,IOC,BUY,100.22,25
1485382,297,LIMIT,SELL,100.28,95
1491005,298,LIMIT,SELL,100.22,52
1498112,299,LIMIT,SELL,100.26,62
1503513,300,CANCEL,,216,
1507471,301,LIMIT,BUY,100.17,2
1511856,302,LIMIT,BUY,100.29,21
1518598,303,IOC,SELL,100.29,82
1523531,304,LIMIT,SELL,100.35,96
1529752,305,LIMIT,BUY,100.23,98
1533906,306,LIMIT,SELL,100.36,91
1539933,307,IOC,SELL,100.35,20
1542728,308,LIMIT,BUY,100.16,63
1544317,309,LIMIT,BUY,100.29,59
1553656,310,IOC,SELL,100.30,96
1557326,311,CANCEL,,196,
1558470,312,LIMIT,SELL,100.37,5
1563273,313,LIMIT,SELL,100.36,48
1569639,314,IOC,BUY,100.34,70
1571917,315,LIMIT,BUY,100.20,17
1575665,316,LIMIT,SELL,100.38,55
1584480,317,LIMIT,BUY,100.30,93
1586428,318,LIMIT,SELL,100.31,9
1588181,319,LIMIT,SELL,100.36,95
1589005,320,LIMIT,BUY,100.31,18
1597360,321,LIMIT,SELL,100.42,77
1602713,322,IOC,SELL,100.39,39
1607321,323,LIMIT,SELL,100.27,83
1613665,324,LIMIT,BUY,100.32,24
1622578,325,IOC,BUY,100.21,8
1631892,326,LIMIT,SELL,100.34,27
1637403,327,IOC,SELL,100.24,25
1638347,328,LIMIT,SELL,100.33,98
1648073,329,LIMIT,BUY,100.23,39
1648424,330,LIMIT,SELL,100.37,32
1651874,331,LIMIT,BUY,100.21,69
1657860,332,LIMIT,SELL,100.37,98
1663206,333,LIMIT,BUY,100.25,95
1665696,334,LIMIT,BUY,100.27,64
1674817,335,LIMIT,BUY,100.23,59
1677673,336,LIMIT,BUY,100.28,70
1678735,337,IOC,BUY,100.30,98
1678939,338,IOC,BUY,100.30,28
1687324,339,LIMIT,SELL,100.39,85
1695417,340,CANCEL,,159,
1704294,341,CANCEL,,245,
1707331,342,LIMIT,BUY,100.36,33
1713238,343,LIMIT,BUY,100.22,32
1717038,344,IOC,BUY,100.31,12
1723778,345,LIMIT,BUY,100.33,11
1732067,346,LIMIT,BUY,100.30,68
1732864,347,IOC,SELL,100.37,6
1734182,348,LIMIT,SELL,100.35,41
1734538,349,LIMIT,SELL,100.39,10
1739541,350,LIMIT,SELL,100.41,43
1745929,351,LIMIT,SELL,100.41,96
1751695,352,IOC,BUY,100.23,51
1757142,353,LIMIT,BUY,100.28,24
1766840,354,LIMIT,SELL,100.37,11
1771330,355,LIMIT,SELL,100.41,47
1773175,356,LIMIT,BUY,100.38,56
1780628,357,LIMIT,BUY,100.41,12
1790508,358,LIMIT,BUY,100.30,100
1791995,359,LIMIT,SELL,100.46,22
1798332,360,LIMIT,BUY,100.38,56
1802953,361,LIMIT,BUY,100.33,93
1811176,362,LIMIT,BUY,100.30,43
1817500,363,LIMIT,BUY,100.27,18
1822522,364,IOC,BUY,100.30,41
1827397,365,LIMIT,SELL,100.43,49
1832089,366,LIMIT,BUY,100.27,70
1835136,367,LIMIT,SELL,100.41,57
1840009,368,LIMIT,SELL,100.45,18
1845070,369,LIMIT,SELL,100.39,58
1854966,370,LIMIT,SELL,100.44,70
1855668,371,LIMIT,SELL,100.39,14
1859835,372,LIMIT,SELL,100.32,87
1866482,373,LIMIT,SELL,100.37,34
1870219,374,LIMIT,SELL,100.45,48
1876727,375,LIMIT,SELL,100.37,62
1878539,376,IOC,BUY,100.34,45
1883749,377,LIMIT,SELL,100.39,57
1891261,378,LIMIT,SELL,100.35,83
1893152,379,LIMIT,SELL,100.40,71
1895875,380,LIMIT,BUY,100.34,24
1903055,381,LIMIT,SELL,100.44,50
1903227,382,LIMIT,SELL,100.39,74
1904994,383,LIMIT,BUY,100.37,34
1913113,384,LIMIT,SELL,100.47,15
1918913,385,LIMIT,BUY,100.32,79
1928682,386,LIMIT,BUY,100.40,19
1937151,387,LIMIT,SELL,100.43,82
